company,drug,streak,start,end,reasons,color,,,,,,,,,,,,,,
Hospira,heparin,1,2/20/10,9/23/10,X,,Shortage of Heparin Sodium drug substance that meets current qualification requirements---- ---- ---- ---- ---- ---- ---- ---- ----Shortage of finished product that meets current specification.---- ---- ---- ---- ---- ---- ---- ---- ----Short supply of drug substance and unanticipated issues to implement the new USP Heparin monograph.;Shortage of Heparin Sodium drug substance that meets current qualification requirements---- ---- ---- ---- ---- ---- ----Shortage of finished product that meets current specification.---- ---- ---- ---- ---- ---- ----Short supply of drug substance and unanticipated issues to implement the new USP Heparin monograph.;Shortage of Heparin Sodium drug substance that meets current qualification requirements---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Shortage of finished product that meets current specification.---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Short supply of drug substance and unanticipated issues to implement the new USP Heparin monograph.;Shortage of Heparin Sodium drug substance that meets current qualification requirements---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Shortage of finished product that meets current specification.---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Short supply of drug substance and unanticipated issues to implement the new USP Heparin monograph.;Shortage of Heparin Sodium drug substance that meets current qualification requirements---- ---- ---- ---- ---- ----Shortage of finished product that meets current specification.---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Short supply of drug substance and unanticipated issues to implement the new USP Heparin monograph.;B. Braun now has heparin infusion solutions available---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Shortage of finished product that meets current specification.---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Short supply of drug substance and unanticipated issues to implement the new USP Heparin monograph.;B. Braun now has heparin infusion solutions available-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --Shortage of finished product that meets current specification.-- -- -- -- -- -- -- -- -- -- -- --Short supply of drug substance and unanticipated issues to implement the new USP Heparin monograph.;B. Braun now has heparin infusion solutions available-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- ----Shortage of finished product that meets current specification.-- -- -- -- --Short supply of drug substance and unanticipated issues to implement the new USP Heparin monograph.,,,,,,,,,,,,,
Lundbeck,indocin,1,11/21/09,2/20/10,Manufacturing delays,,Manufacturing delays,,,,,,,,,,,,,
Watson,infed,1,6/6/09,8/14/09,Manufacturing delays,,Manufacturing delays,,,,,,,,,,,,,
Baxter,intravenous,1,7/3/10,4/22/11,Manufacturing delays,,Manufacturing issues---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Increase in demand;Manufacturing issues-- -- -- -- -- -- -- -- -- -- -- -- -- -- --Increase in demand;Manufacturing issues-- -- -- -- -- -- -- -- -- -- -- -- -- --Baxter now has adequate supply available to meet demand.;Manufacturing issues--             --             --             --             --             --             --             --             --             --             --             --             --             --            Baxter now has adequate supply available to meet demand.;Manufacturing issues                                                                                                                                                                                                   Baxter now has adequate supply available to meet demand.,,,,,,,,,,,,,
Hospira,intravenous,1,7/3/10,4/22/11,Manufacturing delays,,Manufacturing issues---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Increase in demand;Manufacturing issues-- -- -- -- -- -- -- -- -- -- -- -- -- -- --Increase in demand;Manufacturing issues-- -- -- -- -- -- -- -- -- -- -- -- -- --Baxter now has adequate supply available to meet demand.;Manufacturing issues--             --             --             --             --             --             --             --             --             --             --             --             --             --            Baxter now has adequate supply available to meet demand.;Manufacturing issues                                                                                                                                                                                                   Baxter now has adequate supply available to meet demand.,,,,,,,,,,,,,
ScheringPlough,intron,1,12/7/09,6/25/10,X,,Please see attached Recall Letter,,,,,,,,,,,,,
APP,isoniazid,1,8/20/10,8/28/10,Demand increase; Manufacturing delays,orange,Manufacturing delays-- -- -- --Increase in demand-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --Increase in demand,,,,,,,,,,,,,
AmericanRegent,isoniazid,1,8/20/10,8/28/10,Demand increase; Manufacturing delays,orange,Manufacturing delays-- -- -- --Increase in demand-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --Increase in demand,,,,,,,,,,,,,
Hospira,isoniazid,1,8/20/10,8/28/10,Demand increase; Manufacturing delays,orange,Manufacturing delays-- -- -- --Increase in demand-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --Increase in demand,,,,,,,,,,,,,
Sandoz,isoniazid,1,6/6/09,8/15/10,Available,,Product continues to be available with short expiration dating.,,,,,,,,,,,,,
APP,leucovorin,1,8/20/10,8/28/10,Manufacturing delays,,Manufacturing delays-- -- -- -- -- --See Related Information-- -- -- -- -- -- -- --See Related Information-- -- -- -- -- -- -- -- -- --Manufacturing delays,,,,,,,,,,,,,
Bedford,leucovorin,1,6/20/10,6/25/10,Manufacturing delays,,Manufacturing delays---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Manufacturing delays,,,,,,,,,,,,,
Bedford,leucovorin,2,8/20/10,8/28/10,Manufacturing delays,,Manufacturing delays-- -- -- -- -- --See Related Information-- -- -- -- -- -- -- --See Related Information-- -- -- -- -- -- -- -- -- --Manufacturing delays,,,,,,,,,,,,,
OrthoMcNeilJanssen,leucovorin,1,8/20/10,8/28/10,Manufacturing delays,,Manufacturing delays-- -- -- -- -- --See Related Information-- -- -- -- -- -- -- --See Related Information-- -- -- -- -- -- -- -- -- --Manufacturing delays,,,,,,,,,,,,,
Teva,leucovorin,1,6/20/10,6/25/10,Manufacturing delays,,Manufacturing delays---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Manufacturing delays,,,,,,,,,,,,,
Teva,leucovorin,2,8/20/10,8/28/10,Manufacturing delays,,Manufacturing delays-- -- -- -- -- --See Related Information-- -- -- -- -- -- -- --See Related Information-- -- -- -- -- -- -- -- -- --Manufacturing delays,,,,,,,,,,,,,
APP,leucovorinlevoleucovorin,1,4/14/11,4/14/11,Manufacturing delays, Inc. to temporarily import levoleucovorin 100 mg Powder for Injection manufactured by Pfizer Inc. ----            ----            Please see the Dear Healthcare Professional Letter (PDF - 159KB) for additional information.,Manufacturing delays--             --             --             --             --             --             --             --            Manufacturing delays----            ----            ----            ----             --            ----            ----            ----            ----            APP has recently launched their leucovorin injection in response to the ongoing shortage.----             --             --             --             --            ----            ----            Due to the shortage of both leucovorin and levoleucovorin products,,,,,,,,,,,,,
Bedford,leucovorinlevoleucovorin,1,7/3/10,8/15/10,Manufacturing delays,,Manufacturing delays---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Manufacturing delays---- ---- ---- ---- ---- ---- ----Supplies continue to be available.;Manufacturing delays---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Manufacturing delays---- ---- ---- ----Supplies continue to be available.;Manufacturing delays-- -- -- -- -- -- -- -- -- -- --Manufacturing delays-- -- -- --Supplies continue to be available.;Manufacturing delays-- -- -- -- -- -- -- -- -- -- ----Manufacturing delays-- -- -- ----Supplies continue to be available.,,,,,,,,,,,,,
Bedford,leucovorinlevoleucovorin,2,9/14/10,12/25/10,Manufacturing delays,,Manufacturing delays-- -- -- -- -- -- -- --Manufacturing delays-- -- -- ----Supplies continue to be available.;Manufacturing delays-- -- -- -- -- -- -- ----Manufacturing delays-- -- -- ----Supplies continue to be available.,,,,,,,,,,,,,
Bedford,leucovorinlevoleucovorin,3,1/6/11,4/22/11,Manufacturing delays, Inc. to temporarily import levoleucovorin 100 mg Powder for Injection manufactured by Pfizer Inc. --Please see the Dear Healthcare Professional Letter (PDF - 159KB) for additional information.-- ;Manufacturing delays--             --             --             --             --             --             --             --            Manufacturing delays----            ----            ----            ----             --            ----            ----            ----            ----            APP has recently launched their leucovorin injection in response to the ongoing shortage.----             --             --             --             --            ----            ----            Due to the shortage of both leucovorin and levoleucovorin products,Manufacturing delays-- -- -- -- -- -- -- ----Manufacturing delays-- ----APP has recently launched their leucovorin injection in response to the ongoing shortage.-- -- -- -- ----Supplies continue to be available.-- ;Manufacturing delays-- -- -- -- -- -- -- ----Manufacturing delays-- ----APP has recently launched their leucovorin injection in response to the ongoing shortage.-- -- -- -- ----Spectrum is working with the FDA on additional supplies - new information will be posted soon about additional supplies to help address the shortage.-- ;Manufacturing delays-- -- -- -- -- -- -- --Manufacturing delays-- ----APP has recently launched their leucovorin injection in response to the ongoing shortage.-- -- -- -- ----Due to the shortage of both leucovorin and levoleucovorin products, Inc. to temporarily import levoleucovorin 100 mg Powder for Injection manufactured by Pfizer Inc. ----            ----            Please see the Dear Healthcare Professional Letter (PDF - 159KB) for additional information.;Manufacturing delays                                                                                                               Manufacturing delays--             --             --             --                           --             --             --             --             APP has recently launched their leucovorin injection in response to the ongoing shortage.--                                                                     --             --             Due to the shortage of both leucovorin and levoleucovorin products, the FDA has utilized regulatory enforcement discretion for Spectrum Pharmaceuticals, Inc. to temporarily import levoleucovorin 100 mg Powder for Injection manufactured by Pfizer Inc. --             --             Please see the Dear Healthcare Professional Letter (PDF - 159KB) for additional information.,,,,,,,,,,
Spectrum,leucovorinlevoleucovorin,1,7/3/10,8/15/10,Manufacturing delays,,Manufacturing delays---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Manufacturing delays---- ---- ---- ---- ---- ---- ----Supplies continue to be available.;Manufacturing delays---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Manufacturing delays---- ---- ---- ----Supplies continue to be available.;Manufacturing delays-- -- -- -- -- -- -- -- -- -- --Manufacturing delays-- -- -- --Supplies continue to be available.;Manufacturing delays-- -- -- -- -- -- -- -- -- -- ----Manufacturing delays-- -- -- ----Supplies continue to be available.,,,,,,,,,,,,,
Spectrum,leucovorinlevoleucovorin,2,9/14/10,12/25/10,Manufacturing delays,,Manufacturing delays-- -- -- -- -- -- -- --Manufacturing delays-- -- -- ----Supplies continue to be available.;Manufacturing delays-- -- -- -- -- -- -- ----Manufacturing delays-- -- -- ----Supplies continue to be available.,,,,,,,,,,,,,
Spectrum,leucovorinlevoleucovorin,3,1/6/11,4/22/11,Manufacturing delays, Inc. to temporarily import levoleucovorin 100 mg Powder for Injection manufactured by Pfizer Inc. --Please see the Dear Healthcare Professional Letter (PDF - 159KB) for additional information.-- ;Manufacturing delays--             --             --             --             --             --             --             --            Manufacturing delays----            ----            ----            ----             --            ----            ----            ----            ----            APP has recently launched their leucovorin injection in response to the ongoing shortage.----             --             --             --             --            ----            ----            Due to the shortage of both leucovorin and levoleucovorin products,Manufacturing delays-- -- -- -- -- -- -- ----Manufacturing delays-- ----APP has recently launched their leucovorin injection in response to the ongoing shortage.-- -- -- -- ----Supplies continue to be available.-- ;Manufacturing delays-- -- -- -- -- -- -- ----Manufacturing delays-- ----APP has recently launched their leucovorin injection in response to the ongoing shortage.-- -- -- -- ----Spectrum is working with the FDA on additional supplies - new information will be posted soon about additional supplies to help address the shortage.-- ;Manufacturing delays-- -- -- -- -- -- -- --Manufacturing delays-- ----APP has recently launched their leucovorin injection in response to the ongoing shortage.-- -- -- -- ----Due to the shortage of both leucovorin and levoleucovorin products, Inc. to temporarily import levoleucovorin 100 mg Powder for Injection manufactured by Pfizer Inc. ----            ----            Please see the Dear Healthcare Professional Letter (PDF - 159KB) for additional information.;Manufacturing delays                                                                                                               Manufacturing delays--             --             --             --                           --             --             --             --             APP has recently launched their leucovorin injection in response to the ongoing shortage.--                                                                     --             --             Due to the shortage of both leucovorin and levoleucovorin products, the FDA has utilized regulatory enforcement discretion for Spectrum Pharmaceuticals, Inc. to temporarily import levoleucovorin 100 mg Powder for Injection manufactured by Pfizer Inc. --             --             Please see the Dear Healthcare Professional Letter (PDF - 159KB) for additional information.,,,,,,,,,,
Teva,leucovorinlevoleucovorin,1,7/3/10,8/15/10,Manufacturing delays,,Manufacturing delays---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Manufacturing delays---- ---- ---- ---- ---- ---- ----Supplies continue to be available.;Manufacturing delays---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Manufacturing delays---- ---- ---- ----Supplies continue to be available.;Manufacturing delays-- -- -- -- -- -- -- -- -- -- --Manufacturing delays-- -- -- --Supplies continue to be available.;Manufacturing delays-- -- -- -- -- -- -- -- -- -- ----Manufacturing delays-- -- -- ----Supplies continue to be available.,,,,,,,,,,,,,
Teva,leucovorinlevoleucovorin,2,9/14/10,12/25/10,Manufacturing delays,,Manufacturing delays-- -- -- -- -- -- -- --Manufacturing delays-- -- -- ----Supplies continue to be available.;Manufacturing delays-- -- -- -- -- -- -- ----Manufacturing delays-- -- -- ----Supplies continue to be available.,,,,,,,,,,,,,
Teva,leucovorinlevoleucovorin,3,1/6/11,4/22/11,Manufacturing delays, Inc. to temporarily import levoleucovorin 100 mg Powder for Injection manufactured by Pfizer Inc. --Please see the Dear Healthcare Professional Letter (PDF - 159KB) for additional information.-- ;Manufacturing delays--             --             --             --             --             --             --             --            Manufacturing delays----            ----            ----            ----             --            ----            ----            ----            ----            APP has recently launched their leucovorin injection in response to the ongoing shortage.----             --             --             --             --            ----            ----            Due to the shortage of both leucovorin and levoleucovorin products,Manufacturing delays-- -- -- -- -- -- -- ----Manufacturing delays-- ----APP has recently launched their leucovorin injection in response to the ongoing shortage.-- -- -- -- ----Supplies continue to be available.-- ;Manufacturing delays-- -- -- -- -- -- -- ----Manufacturing delays-- ----APP has recently launched their leucovorin injection in response to the ongoing shortage.-- -- -- -- ----Spectrum is working with the FDA on additional supplies - new information will be posted soon about additional supplies to help address the shortage.-- ;Manufacturing delays-- -- -- -- -- -- -- --Manufacturing delays-- ----APP has recently launched their leucovorin injection in response to the ongoing shortage.-- -- -- -- ----Due to the shortage of both leucovorin and levoleucovorin products, Inc. to temporarily import levoleucovorin 100 mg Powder for Injection manufactured by Pfizer Inc. ----            ----            Please see the Dear Healthcare Professional Letter (PDF - 159KB) for additional information.;Manufacturing delays                                                                                                               Manufacturing delays--             --             --             --                           --             --             --             --             APP has recently launched their leucovorin injection in response to the ongoing shortage.--                                                                     --             --             Due to the shortage of both leucovorin and levoleucovorin products, the FDA has utilized regulatory enforcement discretion for Spectrum Pharmaceuticals, Inc. to temporarily import levoleucovorin 100 mg Powder for Injection manufactured by Pfizer Inc. --             --             Please see the Dear Healthcare Professional Letter (PDF - 159KB) for additional information.,,,,,,,,,,
Roxane,levorphanol,1,4/15/10,4/22/11,Manufacturing delays,,Manufacturing delays.,,,,,,,,,,,,,
Baxter,lorazepam,1,4/14/11,4/22/11,Demand increase,orange,Demand increase,,,,,,,,,,,,,
Bedford,lorazepam,1,4/14/11,4/22/11,Demand increase,orange,Demand increase,,,,,,,,,,,,,
Hospira,lorazepam,1,4/22/11,4/22/11,Demand increase,orange,Demand increase,,,,,,,,,,,,,
APP,methotrexate,1,6/6/09,3/12/10,Demand increase,orange,Bedford Laboratories- manufacturing delays---- ---- ---- ---- ---- ---- ---- ----Ebewe Parenta Pharmaceuticals, Inc. has all presentations available.---- ---- ---- ----Hospira- unable to meet demand---- ---- ---- ---- ---- ---- ---- ----GeneraMedix- increase in demand---- ---- ---- ---- ---- ----APP has product available;Bedford Laboratories- manufacturing delays---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Ebewe Parenta Pharmaceuticals, Inc. has all presentations available.---- ---- ---- ---- ---- ----Hospira- unable to meet demand---- ---- ---- ---- ---- ---- ----GeneraMedix- increase in demand---- ---- ---- ---- ---- ---- ---- ----APP has product available;Bedford Laboratories- manufacturing delays---- ---- ---- ---- ---- ---- ---- ---- ----Ebewe Parenta Pharmaceuticals, Inc. has all presentations available.---- ---- ---- ---- ----Hospira- unable to meet demand---- ---- ---- ---- ---- ----GeneraMedix- increase in demand---- ---- ---- ---- ----APP has product available,,,,,,,,,,
Bedford,methotrexate,1,6/6/09,3/12/10,Demand increase,orange,Bedford Laboratories- manufacturing delays---- ---- ---- ---- ---- ---- ---- ----Ebewe Parenta Pharmaceuticals, Inc. has all presentations available.---- ---- ---- ----Hospira- unable to meet demand---- ---- ---- ---- ---- ---- ---- ----GeneraMedix- increase in demand---- ---- ---- ---- ---- ----APP has product available;Bedford Laboratories- manufacturing delays---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Ebewe Parenta Pharmaceuticals, Inc. has all presentations available.---- ---- ---- ---- ---- ----Hospira- unable to meet demand---- ---- ---- ---- ---- ---- ----GeneraMedix- increase in demand---- ---- ---- ---- ---- ---- ---- ----APP has product available;Bedford Laboratories- manufacturing delays---- ---- ---- ---- ---- ---- ---- ---- ----Ebewe Parenta Pharmaceuticals, Inc. has all presentations available.---- ---- ---- ---- ----Hospira- unable to meet demand---- ---- ---- ---- ---- ----GeneraMedix- increase in demand---- ---- ---- ---- ----APP has product available,,,,,,,,,,
Ebewe,methotrexate,1,6/6/09,3/12/10,Demand increase,orange,Bedford Laboratories- manufacturing delays---- ---- ---- ---- ---- ---- ---- ----Ebewe Parenta Pharmaceuticals, Inc. has all presentations available.---- ---- ---- ----Hospira- unable to meet demand---- ---- ---- ---- ---- ---- ---- ----GeneraMedix- increase in demand---- ---- ---- ---- ---- ----APP has product available;Bedford Laboratories- manufacturing delays---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Ebewe Parenta Pharmaceuticals, Inc. has all presentations available.---- ---- ---- ---- ---- ----Hospira- unable to meet demand---- ---- ---- ---- ---- ---- ----GeneraMedix- increase in demand---- ---- ---- ---- ---- ---- ---- ----APP has product available;Bedford Laboratories- manufacturing delays---- ---- ---- ---- ---- ---- ---- ---- ----Ebewe Parenta Pharmaceuticals, Inc. has all presentations available.---- ---- ---- ---- ----Hospira- unable to meet demand---- ---- ---- ---- ---- ----GeneraMedix- increase in demand---- ---- ---- ---- ----APP has product available,,,,,,,,,,
GeneraMedix,methotrexate,1,6/6/09,3/12/10,Demand increase,orange,Bedford Laboratories- manufacturing delays---- ---- ---- ---- ---- ---- ---- ----Ebewe Parenta Pharmaceuticals, Inc. has all presentations available.---- ---- ---- ----Hospira- unable to meet demand---- ---- ---- ---- ---- ---- ---- ----GeneraMedix- increase in demand---- ---- ---- ---- ---- ----APP has product available;Bedford Laboratories- manufacturing delays---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Ebewe Parenta Pharmaceuticals, Inc. has all presentations available.---- ---- ---- ---- ---- ----Hospira- unable to meet demand---- ---- ---- ---- ---- ---- ----GeneraMedix- increase in demand---- ---- ---- ---- ---- ---- ---- ----APP has product available;Bedford Laboratories- manufacturing delays---- ---- ---- ---- ---- ---- ---- ---- ----Ebewe Parenta Pharmaceuticals, Inc. has all presentations available.---- ---- ---- ---- ----Hospira- unable to meet demand---- ---- ---- ---- ---- ----GeneraMedix- increase in demand---- ---- ---- ---- ----APP has product available,,,,,,,,,,
Hospira,methotrexate,1,6/6/09,3/12/10,Demand increase,orange,Bedford Laboratories- manufacturing delays---- ---- ---- ---- ---- ---- ---- ----Ebewe Parenta Pharmaceuticals, Inc. has all presentations available.---- ---- ---- ----Hospira- unable to meet demand---- ---- ---- ---- ---- ---- ---- ----GeneraMedix- increase in demand---- ---- ---- ---- ---- ----APP has product available;Bedford Laboratories- manufacturing delays---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ---- ----Ebewe Parenta Pharmaceuticals, Inc. has all presentations available.---- ---- ---- ---- ---- ----Hospira- unable to meet demand---- ---- ---- ---- ---- ---- ----GeneraMedix- increase in demand---- ---- ---- ---- ---- ---- ---- ----APP has product available;Bedford Laboratories- manufacturing delays---- ---- ---- ---- ---- ---- ---- ---- ----Ebewe Parenta Pharmaceuticals, Inc. has all presentations available.---- ---- ---- ---- ----Hospira- unable to meet demand---- ---- ---- ---- ---- ----GeneraMedix- increase in demand---- ---- ---- ---- ----APP has product available,,,,,,,,,,
Covidien,methylphenidate,1,4/7/11,4/22/11,Demand increase; API limitations,orange,Capacity constraints and receiving API orders ----API constraints----Increase in demand----n/a;Capacity constraints and receiving API orders--             --            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            API constraints--            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increase in demand--            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            n/a;Capacity constraints and receiving API orders                           --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             API constraints             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             Increase in demand             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             n/a,,,,,,,,,,,,,
Sandoz,methylphenidate,1,4/7/11,4/22/11,Demand increase; API limitations,orange,Capacity constraints and receiving API orders ----API constraints----Increase in demand----n/a;Capacity constraints and receiving API orders--             --            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            API constraints--            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increase in demand--            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            n/a;Capacity constraints and receiving API orders                           --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             API constraints             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             Increase in demand             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             n/a,,,,,,,,,,,,,
UCB,methylphenidate,1,4/7/11,4/22/11,Demand increase; API limitations,orange,Capacity constraints and receiving API orders ----API constraints----Increase in demand----n/a;Capacity constraints and receiving API orders--             --            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            API constraints--            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increase in demand--            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            n/a;Capacity constraints and receiving API orders                           --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             API constraints             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             Increase in demand             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             n/a,,,,,,,,,,,,,
Watson,methylphenidate,1,4/7/11,4/22/11,Demand increase; API limitations,orange,Capacity constraints and receiving API orders ----API constraints----Increase in demand----n/a;Capacity constraints and receiving API orders--             --            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            API constraints--            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increase in demand--            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            n/a;Capacity constraints and receiving API orders                           --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             API constraints             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             Increase in demand             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             n/a,,,,,,,,,,,,,
Baxter,metoclopramide,1,2/9/11,4/22/11,Demand increase,orange,Increased Demand-- ----Hospira discontinued metoclopramide ampules in February,2010, and Carpuject syringes in May, 2009.;Increased Demand--             --             --             --             --                           --             --             --             --             --             --             --             Hospira discontinued metoclopramide ampules in February,2010, and Carpuject syringes in May,2009,,,,,,,
Hospira,metoclopramide,1,2/9/11,4/22/11,Demand increase,orange,Increased Demand-- ----Hospira discontinued metoclopramide ampules in February,2010, and Carpuject syringes in May, 2009.;Increased Demand--             --             --             --             --                           --             --             --             --             --             --             --             Hospira discontinued metoclopramide ampules in February,2010, and Carpuject syringes in May,2009,,,,,,,
Teva,metoclopramide,1,2/9/11,4/22/11,Demand increase,orange,Increased Demand-- ----Hospira discontinued metoclopramide ampules in February,2010, and Carpuject syringes in May, 2009.;Increased Demand--             --             --             --             --                           --             --             --             --             --             --             --             Hospira discontinued metoclopramide ampules in February,2010, and Carpuject syringes in May,2009,,,,,,,
Sandoz,mexiletine,1,8/20/10,8/28/10,Available,,Product continues to be available with short expiration dating.,,,,,,,,,,,,,
Teva,mexiletine,1,2/14/10,4/22/11,Manufacturing delays,,Manufacturing Delays,,,,,,,,,,,,,
Accord,mitomycin,1,7/5/09,11/12/10,Manufacturing delays,,Manufacturing delays---- ----Accord has the 5 mg vials (NDC number: 16729-0115-05) in limited quantities. The 20mg vials (NDC 16729-0108-11) will be available by mid-July.;Manufacturing delays---- ---- ;Manufacturing delays-- -- ,,,,,,,,,,,,,
Bedford,mitomycin,1,8/20/10,8/28/10,Manufacturing delays,,Manufacturing delays-- -- -- -- -- -- -- -- -- -- ----Manufacturing delays-- -- -- ----Supplies continue to be available.,,,,,,,,,,,,,
BenVenue,mitomycin,1,6/6/09,11/12/10,Manufacturing delays,,Manufacturing delays;Manufacturing delays---- ----Accord has the 5 mg vials (NDC number: 16729-0115-05) in limited quantities. The 20mg vials (NDC 16729-0108-11) will be available by mid-July.;Manufacturing delays---- ---- ;Manufacturing delays-- -- ,,,,,,,,,,,,,
Spectrum,mitomycin,1,8/20/10,8/28/10,Manufacturing delays,,Manufacturing delays-- -- -- -- -- -- -- -- -- -- ----Manufacturing delays-- -- -- ----Supplies continue to be available.,,,,,,,,,,,,,
Teva,mitomycin,1,8/20/10,8/28/10,Manufacturing delays,,Manufacturing delays-- -- -- -- -- -- -- -- -- -- ----Manufacturing delays-- -- -- ----Supplies continue to be available.,,,,,,,,,,,,,
Amphastar,morphine,1,8/20/10,4/14/11,Manufacturing delays,,Manufacturing delays--Increased demand--Manufacturing delays--;Manufacturing delays--Increased demand--Manufacturing delays-- ;Manufacturing delays----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increased demand----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Manufacturing delays----             ,,,,,,,,,,,,,
Baxter,morphine,1,8/20/10,4/14/11,Manufacturing delays,,Manufacturing delays--Increased demand--Manufacturing delays--;Manufacturing delays--Increased demand--Manufacturing delays-- ;Manufacturing delays----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increased demand----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Manufacturing delays----             ,,,,,,,,,,,,,
Hospira,morphine,1,8/20/10,4/14/11,Manufacturing delays,,Manufacturing delays--Increased demand--Manufacturing delays--;Manufacturing delays--Increased demand--Manufacturing delays-- ;Manufacturing delays----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increased demand----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Manufacturing delays----             ,,,,,,,,,,,,,
